HUD frame time nsec:,4231000

Range Index,Elapsed Time, First Event,Last Event
0,17408,4,4
1,16992,13,13
2,368992,21,21
3,18016,27,27
4,382272,35,35
5,16256,41,41
6,382848,49,49
7,18240,55,55
8,365856,63,63
9,16480,69,69
10,366016,77,77
11,15904,83,83
12,363680,91,91
13,15360,97,97
14,366656,105,105
15,17472,111,111
16,364896,119,119
17,16800,125,125
18,364064,133,133
19,17440,139,139
20,366016,147,147
21,6336,156,156
22,320800,164,164
23,7232,170,170
24,95840,178,178
25,5888,184,184
26,96928,192,192
27,5792,198,198
28,96576,206,206
29,6112,212,212
30,97312,220,220
31,6080,226,226
32,96576,234,234
33,5632,240,240
34,96448,248,248
35,5760,254,254
36,95616,262,262
37,6208,268,268
38,97184,276,276
39,5888,282,282
40,96064,290,290
41,4352,299,299
42,462336,307,307
43,5504,313,313
44,28384,321,321
45,3872,327,327
46,26976,335,335
47,3872,341,341
48,26336,349,349
49,3872,355,355
50,25792,363,363
51,3840,369,369
52,25824,377,377
53,3872,383,383
54,26112,391,391
55,3840,397,397
56,26624,405,405
57,3840,411,411
58,26624,419,419
59,3840,425,425
60,25632,433,433
61,3392,442,442
62,338912,450,450
63,4864,456,456
64,11136,464,464
65,3168,470,470
66,10912,478,478
67,3232,484,484
68,10432,492,492
69,3200,498,498
70,10816,506,506
71,3200,512,512
72,10624,520,520
73,3200,526,526
74,11104,534,534
75,3296,540,540
76,10400,548,548
77,3200,554,554
78,10816,562,562
79,3232,568,568
80,10592,576,576
81,3136,585,585
82,90560,593,593
83,4608,599,599
84,6336,607,607
85,2944,613,613
86,5984,621,621
87,2944,627,627
88,6048,635,635
89,2944,641,641
90,5984,649,649
91,2944,655,655
92,6208,663,663
93,2944,669,669
94,6016,677,677
95,2944,683,683
96,6144,691,691
97,2944,697,697
98,6208,705,705
99,2944,711,711
100,6016,719,719
101,3104,728,728
102,34400,736,736
103,4416,742,742
104,5056,750,750
105,2912,756,756
106,4896,764,764
107,2912,770,770
108,4928,778,778
109,2912,784,784
110,4960,792,792
111,2880,798,798
112,4992,806,806
113,2912,812,812
114,4928,820,820
115,2912,826,826
116,4960,834,834
117,2912,840,840
118,4864,848,848
119,2880,854,854
120,4992,862,862
121,3072,871,871
122,17536,879,879
123,4384,885,885
124,4320,893,893
125,2880,899,899
126,4416,907,907
127,2880,913,913
128,3968,921,921
129,2880,927,927
130,4448,935,935
131,2880,941,941
132,4128,949,949
133,2880,955,955
134,4544,963,963
135,2880,969,969
136,4192,977,977
137,2880,983,983
138,4384,991,991
139,2848,997,997
140,4160,1005,1005
141,3072,1014,1014
142,4320,1022,1022
143,4384,1028,1028
144,4000,1036,1036
145,2880,1042,1042
146,3872,1050,1050
147,2880,1056,1056
148,3616,1064,1064
149,2880,1070,1070
150,3840,1078,1078
151,2880,1084,1084
152,3712,1092,1092
153,2848,1098,1098
154,3872,1106,1106
155,2880,1112,1112
156,3744,1120,1120
157,2880,1126,1126
158,3744,1134,1134
159,2848,1140,1140
160,3552,1148,1148
161,18720,1176,1176
162,216224,1178,1178
163,6400,1185,1185
164,69152,1187,1187
165,3840,1194,1194
166,35648,1196,1196
167,3200,1203,1203
168,27616,1205,1205
169,3136,1212,1212
170,20128,1214,1214
171,3040,1221,1221
172,19008,1223,1223
173,3008,1230,1230
174,17632,1232,1232
175,3008,1239,1239
176,17664,1241,1241
177,16608,1248,1248
178,128704,1251,1251
179,1056,1276,1276
180,1056,1283,1283
181,1056,1290,1290
182,1056,1297,1297
183,1056,1304,1304
184,1056,1311,1311
185,1280,1318,1318
186,1056,1327,1327
187,1024,1334,1334
188,1056,1341,1341
189,1056,1348,1348
190,1056,1355,1355
191,1024,1362,1362
192,1056,1369,1369
193,1056,1378,1378
194,1056,1385,1385
195,15168,1392,1392
196,33696,1399,1399
197,40416,1406,1406
198,2368,1413,1413
199,1120,1420,1420
200,1024,1429,1429
201,15520,1436,1436
202,189088,1443,1443
203,170976,1450,1450
204,198976,1457,1457
205,21216,1464,1464
206,1024,1471,1471
207,1056,1480,1480
208,3264,1487,1487
209,66912,1494,1494
210,63360,1501,1501
211,76448,1508,1508
212,14368,1515,1515
213,1056,1522,1522
214,1024,1531,1531
215,1056,1538,1538
216,992,1545,1545
217,1024,1552,1552
218,1024,1559,1559
219,1024,1566,1566
220,1056,1573,1573
221,1024,1582,1582
222,1024,1589,1589
223,1024,1596,1596
224,1056,1603,1603
225,1056,1610,1610
226,1024,1617,1617
227,1056,1624,1624
228,1056,1673,1673
229,1056,1676,1676
230,370080,1693,1693
